,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
163,905,419,4,2.235725403,numpy,1,379195
164,430,158,2,0.474163503,numpy,1,67940
165,80,72,4,0.138839777,numpy,1,5760
166,903,515,8,2.750678899,numpy,1,465045
167,94,571,1,0.390110785,numpy,1,53674
168,693,569,4,2.316447143,numpy,1,394317
169,799,370,1,1.778076311,numpy,1,295630
170,680,324,1,1.348334892,numpy,1,220320
171,315,519,1,1.009294859,numpy,1,163485
172,600,141,4,0.610654994,numpy,1,84600
173,165,213,1,0.291790005,numpy,1,35145
174,754,492,1,2.190923478,numpy,1,370968
175,553,194,1,0.713915474,numpy,1,107282
176,724,377,8,1.691509458,numpy,1,272948
177,860,675,1,3.392568334,numpy,1,580500
178,62,102,8,0.13815758,numpy,1,6324
179,520,780,1,2.385005499,numpy,1,405600
180,199,493,1,0.649686845,numpy,1,98107
181,980,248,4,1.511402714,numpy,1,243040
182,692,168,4,0.771368576,numpy,1,116256
183,836,473,4,2.37533929,numpy,1,395428
184,136,721,8,0.71106175,numpy,1,98056
185,278,316,4,0.601892927,numpy,1,87848
186,47,198,1,0.146112024,numpy,1,9306
187,187,90,8,0.212330999,numpy,1,16830
188,507,856,8,2.62116372,numpy,1,433992
189,530,197,1,0.707787339,numpy,1,104410
190,813,179,1,0.917072776,numpy,1,145527
191,803,396,8,1.955251967,numpy,1,317988
192,430,343,8,0.986184709,numpy,1,147490
193,280,600,2,1.044156262,numpy,1,168000
194,255,86,4,0.247209915,numpy,1,21930
195,551,700,4,2.2798712,numpy,1,385700
196,505,596,4,1.816779267,numpy,1,300980
197,550,115,4,0.469952498,numpy,1,63250
198,421,700,1,1.715269134,numpy,1,294700
199,653,850,2,3.171382746,numpy,1,555050
200,725,318,8,1.477541874,numpy,1,230550
201,854,394,8,2.006174853,numpy,1,336476
202,108,823,1,0.596121592,numpy,1,88884
203,525,327,2,1.058322957,numpy,1,171675
204,262,553,4,0.923351462,numpy,1,144886
205,163,513,1,0.557914275,numpy,1,83619
206,514,11,1,0.131486339,numpy,1,5654
207,11,557,8,0.11926671,numpy,1,6127
208,311,598,4,1.128077222,numpy,1,185978
209,340,603,1,1.271841189,numpy,1,205020
210,809,842,4,4.03853312,numpy,1,681178
211,205,12,8,0.109400016,numpy,1,2460
212,374,714,8,1.660265738,numpy,1,267036
213,525,420,1,1.330019209,numpy,1,220500
214,50,631,8,0.297529431,numpy,1,31550
215,514,354,8,1.181712847,numpy,1,181956
216,707,471,1,1.964798321,numpy,1,332997
217,293,456,4,0.886753668,numpy,1,133608
218,36,468,8,0.192290797,numpy,1,16848
219,90,204,8,0.216844199,numpy,1,18360
220,159,474,2,0.525883191,numpy,1,75366
221,750,173,1,0.840804305,numpy,1,129750
222,246,380,8,0.644337188,numpy,1,93480
223,697,480,8,2.055837199,numpy,1,334560
224,367,640,2,1.410634389,numpy,1,234880
225,824,950,1,4.521596166,numpy,1,782800
226,563,324,1,1.125909422,numpy,1,182412
227,415,853,1,2.113480617,numpy,1,353995
